Apt_id,displayAddress,bathrooms,bedrooms,addedOn,type,price,verified,priceDuration,sizeMin,furnishing
34,"Tria By Deyaar, Dubai Silicon Oasis, Dubai",4,2,2024-08-06T19:15:20Z,Residential for Sale,1790000,TRUE,sell,1247 sqft,PARTLY
35,"5242 Tower 2, 5242, Dubai Marina, Dubai",3,3,2024-08-05T07:11:21Z,Residential for Sale,5400000,TRUE,sell,1777 sqft,YES
36,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai",6,4,2024-07-09T13:31:30Z,Residential for Sale,18000000,TRUE,sell,4642 sqft,YES
37,"Casablanca Boutique Villas, Juniper, Damac Hills 2, Dubai",5,3,2024-08-18T08:30:56Z,Residential for Sale,1600000,TRUE,sell,1881 sqft,NO
38,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",4,4,2024-07-30T13:24:28Z,Residential for Sale,4900000,TRUE,sell,2145 sqft,NO
39,"Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",4,3,2024-06-05T07:25:09Z,Residential for Sale,8700000,TRUE,sell,1867 sqft,NO
40,"Urban Oasis, Business Bay, Dubai",2,2,2024-08-12T12:22:47Z,Residential for Sale,2800000,TRUE,sell,1109 sqft,NO
41,"1 Residences, Wasl1, Al Kifaf, Dubai",2,1,2024-08-08T10:48:41Z,Residential for Sale,2375000,TRUE,sell,945 sqft,YES
42,"AZIZI Riviera, Meydan One, Meydan, Dubai",1,studio,2024-08-14T10:11:36Z,Residential for Sale,650000,TRUE,sell,387 sqft,NO
43,"Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",2,2,2024-08-07T12:04:31Z,Residential for Sale,7950000,TRUE,sell,1475 sqft,YES
44,"1 Residences, Wasl1, Al Kifaf, Dubai",2,1,2024-07-13T11:44:10Z,Residential for Sale,2100000,TRUE,sell,888 sqft,NO
45,"Springs 14, The Springs, Dubai",2,2,2024-08-16T07:45:07Z,Residential for Sale,3000000,TRUE,sell,1647 sqft,NO
46,"Sadaf 6, Sadaf, Jumeirah Beach Residence, Dubai",2,1,2024-08-09T08:27:43Z,Residential for Sale,2750000,TRUE,sell,1848 sqft,PARTLY
47,"Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai",5,4,2024-07-29T11:07:23Z,Residential for Sale,23000000,TRUE,sell,5200 sqft,NO
48,"Arabella Townhouses 2, Arabella Townhouses, Mudon, Dubai",4,3,2024-07-30T13:46:57Z,Residential for Sale,3150000,TRUE,sell,2842 sqft,NO
49,"Curve by Sentro, Arjan, Dubai",2,1,2024-08-17T07:37:43Z,Residential for Sale,1273957,TRUE,sell,943 sqft,NO
50,"Greenview, EMAAR South, Dubai South (Dubai World Central), Dubai",4,3,2024-08-12T12:27:26Z,Residential for Sale,2500000,TRUE,sell,1990 sqft,NO
51,"Springs 4, The Springs, Dubai",3,2,2024-07-15T05:48:29Z,Residential for Sale,3150000,TRUE,sell,1690 sqft,NO
52,"Dubai Creek Residence Tower 2 North, Dubai Creek Harbour (The Lagoons), Dubai",3,2,2024-08-01T11:26:24Z,Residential for Sale,3500000,TRUE,sell,1559 sqft,NO
53,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour (The Lagoons), Dubai",2,2,2024-07-31T07:27:09Z,Residential for Sale,2600000,TRUE,sell,1082 sqft,NO
54,"Joya Verde Residences, Jumeirah Village Circle, Dubai",1,1,2024-07-29T11:11:07Z,Residential for Sale,780000,TRUE,sell,658 sqft,NO
55,"Mediterranean Villas, Jumeirah Village Triangle, Dubai",3,2,2024-04-30T07:44:22Z,Residential for Sale,4550000,TRUE,sell,2690 sqft,NO
56,"Mediterranean Villas, Jumeirah Village Triangle, Dubai",3,2,2024-06-04T10:33:27Z,Residential for Sale,5199000,TRUE,sell,2690 sqft,NO
57,"The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai",3,2,2024-07-10T12:09:05Z,Residential for Sale,6500000,TRUE,sell,1362 sqft,NO
58,"Yansoon 8, Yansoon, Old Town, Dubai",5,3,2024-02-15T05:43:50Z,Residential for Sale,5990000,TRUE,sell,1755 sqft,YES
59,"Oxford Boulevard, Jumeirah Village Circle, Dubai",2,1,2024-08-08T12:06:16Z,Residential for Sale,1250000,TRUE,sell,767 sqft,YES
60,"Nima, The Valley, Dubai",4,4,2024-07-30T07:26:23Z,Residential for Sale,3250000,TRUE,sell,2547 sqft,NO
61,"Continental Tower, Dubai Marina, Dubai",4,2,2024-08-06T08:40:21Z,Residential for Sale,2200000,TRUE,sell,1291 sqft,NO
62,"Just Cavalli Villas, Aquilegia, Damac Hills 2, Dubai",3,3,2024-08-09T07:22:54Z,Residential for Sale,1500000,TRUE,sell,2064 sqft,NO
63,"Oxford 212, Jumeirah Village Circle, Dubai",1,1,2024-08-08T08:56:26Z,Residential for Sale,1350000,TRUE,sell,605 sqft,NO
64,"Al Thayyal 1, Al Thayyal, Greens, Dubai",2,2,2024-08-06T11:49:47Z,Residential for Sale,1900000,TRUE,sell,1331 sqft,NO
65,"Springs 3, The Springs, Dubai",3,2,2024-08-13T06:44:49Z,Residential for Sale,3400000,TRUE,sell,1794 sqft,NO
66,"Arabian Villas, Jumeirah Village Triangle, Dubai",4,2,2024-08-13T07:24:54Z,Residential for Sale,4500000,TRUE,sell,2692 sqft,NO
67,"Hayyan, Sharjah",5,3,2024-08-15T06:47:57Z,Residential for Sale,2089000,FALSE,sell,2160 sqft,PARTLY
68,"Marina Vista, EMAAR Beachfront, Dubai Harbour, Dubai",4,3,2024-05-06T08:21:21Z,Residential for Sale,7800000,TRUE,sell,1982 sqft,NO
69,"Aknan Villas, Vardon, Damac Hills 2, Dubai",3,3,2024-06-24T09:38:11Z,Residential for Sale,1150000,TRUE,sell,1208 sqft,NO
70,"La Rosa 5, Villanova, Dubai Land, Dubai",3,3,2024-07-09T05:44:32Z,Residential for Sale,2875000,TRUE,sell,1946 sqft,NO
71,"Jebel Ali Hills, Jebel Ali, Dubai",4,4,2024-08-16T08:08:33Z,Residential for Sale,2593860,FALSE,sell,10172 sqft,NO
72,"Mediterranean Villas, Jumeirah Village Triangle, Dubai",3,2,2024-07-22T11:27:24Z,Residential for Sale,4700000,TRUE,sell,2690 sqft,NO
73,"Legacy, Jumeirah Park, Dubai",5,4,2024-07-25T12:24:10Z,Residential for Sale,6500000,TRUE,sell,5659 sqft,NO
74,"Mira 1, Mira, Reem, Dubai",5,4,2024-08-06T06:24:24Z,Residential for Sale,4100000,TRUE,sell,2524 sqft,NO
75,"Acacia C, Park Heights, Dubai Hills Estate, Dubai",2,1,2024-07-24T09:24:23Z,Residential for Sale,2150000,TRUE,sell,922 sqft,NO
76,"Senses at the Fields, District 11, Mohammed Bin Rashid City, Dubai",5,4,2024-07-23T12:22:27Z,Residential for Sale,4890000,TRUE,sell,3099 sqft,NO
77,"Raya, Arabian Ranches 3, Dubai",4,3,2024-07-05T13:42:29Z,Residential for Sale,2350000,TRUE,sell,1559 sqft,NO
78,"Rukan 3, Rukan, Dubai",1,1,2024-08-02T09:03:02Z,Residential for Sale,900000,TRUE,sell,739 sqft,NO
79,"Seventh Heaven, Al Barari, Dubai",2,1,2024-07-25T13:44:34Z,Residential for Sale,4000000,TRUE,sell,3153 sqft,NO
80,"Rockwood, DAMAC Hills, Dubai",5,3,2024-07-02T08:24:17Z,Residential for Sale,4000000,TRUE,sell,2723 sqft,YES
81,"The Hamilton, Town Square, Dubai",2,1,2024-05-30T09:24:09Z,Residential for Sale,800000,TRUE,sell,650 sqft,NO
82,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai",2,1,2024-07-31T08:42:33Z,Residential for Sale,2650000,TRUE,sell,830 sqft,NO
83,"Sobha Orbis, Motor City, Dubai",1,1,2024-08-01T08:25:17Z,Residential for Sale,990000,FALSE,sell,536 sqft,YES
84,"Carson C, Carson, DAMAC Hills, Dubai",3,2,2024-06-03T06:25:22Z,Residential for Sale,1549999,TRUE,sell,1326 sqft,NO
85,"Al Zaheya Gardens, Al Zahya, Ajman",6,4,2024-08-12T07:42:21Z,Residential for Sale,1300000,FALSE,sell,3100 sqft,NO
86,"Marina Vista, EMAAR Beachfront, Dubai Harbour, Dubai",1,1,2024-06-11T12:22:36Z,Residential for Sale,2790000,TRUE,sell,742 sqft,NO
87,"Afnan 4, Midtown, Dubai Production City (IMPZ), Dubai",2,1,2024-08-12T06:25:27Z,Residential for Sale,730000,TRUE,sell,654 sqft,NO
88,"Marina Crown, Dubai Marina, Dubai",5,4,2024-08-13T06:49:15Z,Residential for Sale,6100000,TRUE,sell,3023 sqft,YES
89,"The Riff, Aljada, Sharjah",1,studio,2024-08-19T18:59:08Z,Residential for Sale,385000,FALSE,sell,354 sqft,PARTLY
90,"Saba Tower 2, JLT Cluster Q, Jumeirah Lake Towers, Dubai",2,1,2024-08-08T10:21:28Z,Residential for Sale,1175000,TRUE,sell,774 sqft,YES
91,"Mediterranean Villas, Jumeirah Village Triangle, Dubai",2,2,2024-07-16T05:27:22Z,Residential for Sale,5190000,TRUE,sell,2690 sqft,NO
92,"5242 Tower 1, 5242, Dubai Marina, Dubai",2,2,2024-08-12T12:26:49Z,Residential for Sale,3150000,TRUE,sell,1183 sqft,NO
93,"Burj Daman, DIFC, Dubai",3,2,2024-07-18T14:42:29Z,Residential for Sale,4000000,TRUE,sell,1845 sqft,NO
94,"Residences D, Yas Golf Collection, Yas Island, Abu Dhabi",1,studio,2024-07-16T12:06:01Z,Residential for Sale,870000,TRUE,sell,471 sqft,NO
95,"Murooj Al Furjan, Al Furjan, Dubai",5,4,2024-08-17T11:02:28Z,Residential for Sale,6900000,TRUE,sell,6342 sqft,NO
96,"Canal Heights, Business Bay, Dubai",1,studio,2024-07-15T10:02:36Z,Residential for Sale,1240000,TRUE,sell,475 sqft,NO
97,"Casablanca Boutique Villas, Juniper, Damac Hills 2, Dubai",5,3,2024-08-08T15:38:30Z,Residential for Sale,1650000,TRUE,sell,1895 sqft,NO
98,"Reem Townhouses, Town Square, Dubai",4,4,2024-07-24T06:27:36Z,Residential for Sale,3150000,TRUE,sell,2890 sqft,NO
99,"Saheel, Arabian Ranches, Dubai",4,5,2024-07-29T08:05:20Z,Residential for Sale,15500000,TRUE,sell,5500 sqft,NO
100,"Luma21, Jumeirah Village Circle, Dubai",1,studio,2024-07-01T13:57:04Z,Residential for Sale,700000,TRUE,sell,489 sqft,NO
101,"Meadows 2, Meadows, Dubai",6,5,2024-08-13T06:44:47Z,Residential for Sale,19750000,TRUE,sell,6100 sqft,NO
102,"Mulberry 2, Emirates Gardens 2, Jumeirah Village Circle, Dubai",1,studio,2024-08-16T11:28:11Z,Residential for Sale,650000,TRUE,sell,752 sqft,YES
103,"Alvorada 3, Alvorada, Arabian Ranches, Dubai",5,4,2024-07-29T12:42:39Z,Residential for Sale,13500000,TRUE,sell,4248 sqft,YES
104,"Cavalli Casa Tower, Al Sufouh 2, Al Sufouh, Dubai",4,3,2024-08-05T13:06:21Z,Residential for Sale,17000000,FALSE,sell,3920 sqft,PARTLY
105,"AZIZI Riviera, Meydan One, Meydan, Dubai",2,1,2024-07-04T14:06:31Z,Residential for Sale,1199500,TRUE,sell,606 sqft,NO
106,"Me Do Re Tower, JLT Cluster L, Jumeirah Lake Towers, Dubai",3,3,2024-07-17T12:44:59Z,Residential for Sale,5650000,TRUE,sell,2291 sqft,YES
107,"Garden Homes Frond D, Garden Homes, Palm Jumeirah, Dubai",6,5,2024-08-09T09:52:27Z,Residential for Sale,50000000,TRUE,sell,7407 sqft,YES
108,"Sunrise Bay Podium, EMAAR Beachfront, Dubai Harbour, Dubai",2,2,2024-08-13T13:43:52Z,Residential for Sale,3650000,TRUE,sell,1282 sqft,YES
109,"Zaafaran 3, Zaafaran, Old Town, Dubai",3,2,2024-08-06T07:14:53Z,Residential for Sale,12900000,TRUE,sell,3386 sqft,NO
110,"Shams 2, Shams, Jumeirah Beach Residence, Dubai",4,3,2024-07-19T13:08:31Z,Residential for Sale,2750000,TRUE,sell,1990 sqft,NO
111,"Ixora, Al Barari, Dubai",5,4,2024-07-15T08:06:30Z,Residential for Sale,6300000,TRUE,sell,4940 sqft,NO
112,"The Cove II Building 4, The Cove ll, Dubai Creek Harbour (The Lagoons), Dubai",3,3,2024-06-15T03:44:37Z,Residential for Sale,3450000,TRUE,sell,1569 sqft,NO
113,"Bahar 4, Bahar, Jumeirah Beach Residence, Dubai",3,2,2024-08-13T09:30:55Z,Residential for Sale,2500000,TRUE,sell,1268 sqft,YES
114,"MILANO by Giovanni Botique Suites, Jumeirah Village Circle, Dubai",2,2,2024-07-04T13:25:11Z,Residential for Sale,1400000,TRUE,sell,1171 sqft,YES
115,"Gulf Tower, Emirates City, Ajman",2,2,2024-08-07T16:59:32Z,Residential for Sale,520000,FALSE,sell,1172 sqft,NO
116,"La Vie, Jumeirah Beach Residence, Dubai",1,1,2024-06-21T14:03:02Z,Residential for Sale,3000000,TRUE,sell,920 sqft,NO
117,"AZIZI Riviera, Meydan One, Meydan, Dubai",1,studio,2024-08-02T08:08:53Z,Residential for Sale,700000,TRUE,sell,304 sqft,NO
118,"Garden Hall, European Clusters, Jumeirah Islands, Dubai",5,4,2024-08-02T13:25:02Z,Residential for Sale,16499995,TRUE,sell,5500 sqft,NO
119,"Cloud Tower, Jumeirah Village Triangle, Dubai",1,1,2024-08-07T09:48:26Z,Residential for Sale,720000,TRUE,sell,626 sqft,YES
120,"Sadaf 8, Sadaf, Jumeirah Beach Residence, Dubai",4,3,2024-06-27T10:15:02Z,Residential for Sale,2550000,TRUE,sell,1910 sqft,NO
121,"Topanga, DAMAC Hills, Dubai",4,3,2024-07-19T07:46:14Z,Residential for Sale,3350000,TRUE,sell,2043 sqft,NO
122,"Rosa, Arabian Ranches 2, Dubai",4,4,2024-08-01T08:24:52Z,Residential for Sale,9000000,TRUE,sell,4354 sqft,NO
123,"Binghatti Onyx, Jumeirah Village Circle, Dubai",2,1,2024-07-01T08:54:27Z,Residential for Sale,1000000,TRUE,sell,681 sqft,NO
124,"The S Tower, Dubai Internet City, Dubai",6,4,2023-11-22T20:43:54Z,Residential for Sale,18100000,TRUE,sell,4880 sqft,NO
125,"Hayyan, Sharjah",5,4,2024-08-01T09:39:21Z,Residential for Sale,2399000,FALSE,sell,2709 sqft,PARTLY
126,"Xanadu Residence 2, Jumeirah Village Circle, Dubai",2,2,2024-06-26T14:27:36Z,Residential for Sale,1400000,TRUE,sell,1556 sqft,NO
127,"Belair Damac Hills - By Trump Estates, DAMAC Hills, Dubai",7,7,2024-07-19T09:43:30Z,Residential for Sale,12200000,TRUE,sell,7285 sqft,NO
128,"The Highbury, Mohammed Bin Rashid City, Dubai",3,2,2024-07-18T09:03:52Z,Residential for Sale,2700000,TRUE,sell,1208 sqft,PARTLY
129,"Ashjar, Al Barari, Dubai",3,2,2024-06-24T13:04:10Z,Residential for Sale,5800000,TRUE,sell,2639 sqft,YES
130,"Greenview, EMAAR South, Dubai South (Dubai World Central), Dubai",3,4,2024-08-07T07:51:23Z,Residential for Sale,3100000,TRUE,sell,2422 sqft,NO
131,"Hamilton House, Jumeirah Village Circle, Dubai",2,1,2024-07-31T14:02:34Z,Residential for Sale,1250000,TRUE,sell,781 sqft,PARTLY
132,"The Links West Tower, The Links, The Views, Dubai",1,1,2024-07-15T12:05:40Z,Residential for Sale,1499000,TRUE,sell,803 sqft,NO
133,"Botanica, Jumeirah Village Circle, Dubai",2,1,2024-07-01T12:00:53Z,Residential for Sale,850000,TRUE,sell,947 sqft,NO
134,"Park Residence 1, Park Residences, DAMAC Hills, Dubai",3,3,2024-02-23T09:46:08Z,Residential for Sale,2550000,TRUE,sell,1485 sqft,NO
135,"Five Luxe JBR, Jumeirah Beach Residence, Dubai",4,3,2024-08-06T08:20:39Z,Residential for Sale,18500000,TRUE,sell,3223 sqft,NO
136,"Savannah 1, Savannah, Arabian Ranches, Dubai",3,3,2024-08-13T11:44:31Z,Residential for Sale,7795000,TRUE,sell,3324 sqft,NO
137,"Dubai Creek Residence Tower 2 South, Dubai Creek Harbour (The Lagoons), Dubai",4,3,2024-07-24T09:27:22Z,Residential for Sale,4399000,TRUE,sell,1931 sqft,NO
138,"Springs 15, The Springs, Dubai",4,3,2024-07-11T08:44:49Z,Residential for Sale,6200000,TRUE,sell,2904 sqft,NO
139,"Tower 24, Al Reef Downtown, Al Reef, Abu Dhabi",1,studio,2024-07-12T12:26:01Z,Residential for Sale,450000,TRUE,sell,371 sqft,NO
140,"Khor Fakkan, Fujairah",4,4,2024-02-05T18:18:11Z,Residential for Sale,3099000,FALSE,sell,2594 sqft,PARTLY
141,"Sama Residences, Maryam Gate Residence, Maryam Island, Sharjah",3,2,2024-04-26T15:34:33Z,Residential for Sale,1650000,FALSE,sell,1156 sqft,NO
142,"Rimal Residences, Maryam Island, Sharjah",1,1,2024-03-14T13:17:42Z,Residential for Sale,780000,FALSE,sell,650 sqft,NO
143,"The Pulse Beachfront, The Pulse, Dubai South (Dubai World Central), Dubai",5,4,2024-07-11T09:18:38Z,Residential for Sale,3400000,TRUE,sell,3482 sqft,NO
144,"Khor Fakkan, Fujairah",3,2,2024-03-24T18:29:34Z,Residential for Sale,2099000,FALSE,sell,1765 sqft,PARTLY
145,"Saro, Masaar, Tilal City, Sharjah",4,4,2024-05-01T05:32:33Z,Residential for Sale,5410000,FALSE,sell,4402 sqft,PARTLY
146,"Blue Pearls, Ajmal Makan City, Al Hamriyah, Sharjah",1,studio,2024-03-31T07:38:09Z,Residential for Sale,510000,FALSE,sell,543 sqft,NO
147,"Seven City JLT, Jumeirah Lake Towers, Dubai",4,3,2024-06-24T17:28:55Z,Residential for Sale,2150000,TRUE,sell,1515 sqft,YES
148,"Seven City JLT, Jumeirah Lake Towers, Dubai",1,studio,2024-06-26T05:28:57Z,Residential for Sale,725000,TRUE,sell,388 sqft,YES
149,"Forte 1, Forte, Downtown Dubai, Dubai",2,2,2024-08-16T12:26:45Z,Residential for Sale,3000000,TRUE,sell,1109 sqft,NO
150,"Sanctuary Falls, Earth, Jumeirah Golf Estates, Dubai",7+,6,2024-07-19T13:45:48Z,Residential for Sale,29000000,TRUE,sell,8600 sqft,NO
151,"Lake Point Tower, JLT Cluster N, Jumeirah Lake Towers, Dubai",2,1,2024-08-16T09:19:40Z,Residential for Sale,1000000,TRUE,sell,979 sqft,YES
152,"Faradis Tower, Al Mamzar - Sharjah, Sharjah",3,1,2024-08-01T10:06:06Z,Residential for Sale,883000,FALSE,sell,960 sqft,PARTLY
153,"Ponderosa, The Villa, Dubai",5,5,2024-08-15T13:44:30Z,Residential for Sale,8500000,TRUE,sell,6300 sqft,NO
154,"Nara, The Valley, Dubai",4,3,2024-07-24T09:06:18Z,Residential for Sale,2300000,TRUE,sell,2025 sqft,NO
155,"Entertainment Foyer, Islamic Clusters, Jumeirah Islands, Dubai",5,4,2024-07-30T08:04:22Z,Residential for Sale,25000000,TRUE,sell,5307 sqft,YES
156,"Rimal 2, Rimal, Jumeirah Beach Residence, Dubai",4,4,2024-08-09T15:43:04Z,Residential for Sale,5300000,TRUE,sell,1894 sqft,YES
157,"Silverene Tower B, Silverene, Dubai Marina, Dubai",2,1,2024-07-31T09:27:06Z,Residential for Sale,2000000,TRUE,sell,832 sqft,NO
158,"Bluewaters Bay Building 1, Bluewaters Bay, Bluewaters, Dubai",4,3,2024-08-10T13:36:23Z,Residential for Sale,8290000,TRUE,sell,2000 sqft,NO
159,"Bluewaters Bay Building 1, Bluewaters Bay, Bluewaters, Dubai",1,1,2024-08-16T07:50:44Z,Residential for Sale,4190000,TRUE,sell,919 sqft,NO
160,"Wildflower, Earth, Jumeirah Golf Estates, Dubai",5,5,2024-07-30T14:07:27Z,Residential for Sale,31500000,TRUE,sell,9100 sqft,NO
161,"Saro, Masaar, Tilal City, Sharjah",5,4,2024-07-27T08:10:38Z,Residential for Sale,2830000,FALSE,sell,2700 sqft,PARTLY
162,"Hayyan, Sharjah",4,3,2024-07-27T07:44:07Z,Residential for Sale,1990000,FALSE,sell,2100 sqft,PARTLY
163,"Carson B, Carson, DAMAC Hills, Dubai",1,studio,2024-07-09T06:08:32Z,Residential for Sale,600000,TRUE,sell,407 sqft,YES
164,"Orla by Omniyat, Palm Jumeirah, Dubai",4,3,2024-07-29T08:02:12Z,Residential for Sale,34675000,TRUE,sell,4229 sqft,PARTLY
165,"Al Waha, Al Ghadeer, Abu Dhabi",2,2,2024-06-01T08:25:55Z,Residential for Sale,780000,TRUE,sell,1142 sqft,NO
166,"Fashionz by Danube, Jumeirah Village Triangle, Dubai",1,studio,2024-07-29T12:26:17Z,Residential for Sale,792000,TRUE,sell,433 sqft,YES
167,"Creek Gate Tower 1, Creek Gate, Dubai Creek Harbour (The Lagoons), Dubai",2,2,2024-07-04T08:24:08Z,Residential for Sale,2550000,TRUE,sell,1115 sqft,YES
168,"Surf, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai",3,3,2024-07-17T11:24:11Z,Residential for Sale,3500000,TRUE,sell,1526 sqft,NO
169,"Marina Bay by DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi",1,studio,2024-05-30T11:26:08Z,Residential for Sale,495000,TRUE,sell,378 sqft,NO
170,"Beverly Boulevard, Arjan, Dubai",1,studio,2024-08-13T08:58:29Z,Residential for Sale,650000,TRUE,sell,397 sqft,NO
171,"Building 19, City Walk, Dubai",4,2,2024-07-27T13:46:46Z,Residential for Sale,6000000,TRUE,sell,1752 sqft,YES
172,"The Lofts Podium, The Lofts, Downtown Dubai, Dubai",1,1,2024-07-23T06:07:25Z,Residential for Sale,1569999,TRUE,sell,826 sqft,NO
173,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",2,2,2024-05-13T06:45:47Z,Residential for Sale,1370000,TRUE,sell,1091 sqft,NO
174,"The Belvedere, Dubai Marina, Dubai",3,2,2024-08-07T14:25:18Z,Residential for Sale,1390000,TRUE,sell,1409 sqft,NO
175,"Violet, Damac Hills 2, Dubai",4,4,2024-08-10T09:52:58Z,Residential for Sale,1870000,FALSE,sell,2415 sqft,NO
176,"Bloom Living, Zayed City (Khalifa City C), Khalifa City, Abu Dhabi",3,2,2024-08-12T14:23:06Z,Residential for Sale,1840896,FALSE,sell,1346 sqft,NO
177,"1 JBR, Jumeirah Beach Residence, Dubai",4,2,2024-07-11T13:08:35Z,Residential for Sale,8600000,TRUE,sell,1925 sqft,NO
